ZONA;PROMOT.;A_TOTAL_(m2);P_TOTAL_(m);A_SALON;P_SALON;A_COCINA;P_COCINA;A_BAÑO1;P_BAÑO1;A_BAÑO2;P_BAÑO2;A_BAÑO3;P_BAÑO3;A_BAÑO4;P_BAÑO4;A_ASEO;P_ASEO;A_DORM1;P_DORM1;A_DORM2;P_DORM2;A_DORM3;P_DORM3;A_DORM4;P_DORM4;A_DORM5;P_DORM5;A_DORM6;P_DORM6;A_ENTRADA;P_ENTRADA;A_PASILLO;P_PASILLO;A_LAVADERO;P_LAVADERO;A_TERRAZA;P_TERRAZA
Madrid;El Pinar Caleruega - Proceparsa;26.09;388.672;17.808;2.386.272;4.452;596.568;3.83;90.388;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;29.8;49.247;9.44;126.496;2.36;31.624;5.4;12.744;;;;;;;;;9.9;13.266;;;;;;;;;;;2.7;7.425;;;;;;
;;31.8;452.232;12.96;173.664;3.24;43.416;2.56;60.416;;;;;;;;;13.04;174.736;;;;;;;;;;;;;;;;;;
Málaga;Suite Mijas;32.58;467.478;14.664;1.964.976;3.666;491.244;3.03;71.508;;;;;;;;;11.22;150.348;;;;;;;;;;;;;;;;;5.24;3.144
Albacete;Santa Quiteria;33.45;479.544;16.192;2.169.728;4.048;542.432;3.07;72.452;;;;;;;;;10.14;135.876;;;;;;;;;;;;;;;;;;
Albacete;Santa Quiteria;34;489.056;16.36;219.224;4.09;54.806;3.28;77.408;;;;;;;;;10.27;137.618;;;;;;;;;;;;;;;;;1.85;1.11
Madrid;Gilmar El Retiro;34.9;34.9;20.52;274.968;5.13;68.742;4.25;10.03;;;;;;;;;;;;;;;;;;;;;;;5;13.75;;;;
;;35;55.516;13.68;183.312;3.42;45.828;4.3;10.148;;;;;;;;;10.6;14.204;;;;;;;;;;;3;8.25;;;;;;
;;37.1;58.66;16.4;21.976;4.1;5.494;3.7;8.732;;;;;;;;;8.9;11.926;;;;;;;;;;;;;2.8;7.7;1.2;2.832;;
Valladolid;Resid. Castilla;37.4;54.4;17.84;239.056;4.46;59.764;4.2;9.912;;;;;;;;;10.9;14.606;;;;;;;;;;;;;;;;;20.25;12.15
;;38.7;59.526;10.08;135.072;2.52;33.768;4.2;9.912;;;;;;;;;11.1;14.874;8.4;11.256;;;;;;;;;;;2.4;6.6;;;;
Madrid;Mesena - Metrovacesa ;39.6;57.246;19.12;256.208;4.78;64.052;4.1;9.676;;;;;;;;;11.6;15.544;;;;;;;;;;;;;;;;;12.3;7.38
;;39.68;568.432;15.68;210.112;3.92;52.528;3.6;8.496;;;;;;;;;8.88;118.992;7.6;10.184;;;;;;;;;;;;;;;;
;;40.64;590.476;19.28;258.352;4.82;64.588;4.5;10.62;;;;;;;;;12.04;161.336;;;;;;;;;;;;;;;;;;
Barcelona;Marcelona Montjuit - Culmia;40.82;65.851;16.176;2.167.584;4.044;541.896;4.16;98.176;;;;;;;;;11.54;154.636;;;;;;;;;;;4.9;13.475;;;;;11.84;7.104
Mallorca;Aire de Llevant - Metrovacesa;42.9;61.566;20.72;277.648;5.18;69.412;4;9.44;;;;;;;;;13;17.42;;;;;;;;;;;;;;;;;5.9;3.54
Sevilla;Jardines de Oriente ;43.1;66.433;15.5;20.77;7.7;10.318;4.5;10.62;;;;;;;;;12.5;16.75;;;;;;;;;;;;;2.9;7.975;;;;
Barcelona;Les Masies - Realia;44;72.043;17.68;236.912;4.42;59.228;4.5;10.62;;;;;;;;;11.1;14.874;;;;;;;;;;;3.2;8.8;2.1;5.775;1;2.36;;
;Pino Montano ;44.7;69.735;16.2;21.708;7.15;9.581;3.7;8.732;;;;;;;;;13.35;17.889;;;;;;;;;;;4.3;11.825;;;;;;
;;44.75;645.856;21.288;2.852.592;5.322;713.148;4.53;106.908;;;;;;;;;13.61;182.374;;;;;;;;;;;;;;;;;;
Sevilla;Macarena 40 / Aniceto;45.97;708.656;18.26;244.684;7.86;105.324;4.55;10.738;;;;;;;;;12.02;161.068;;;;;;;;;;;3.28;9.02;;;;;;
Madrid;Gilmar El Retiro;46.7;745.495;15.52;207.968;3.88;51.992;3.65;8.614;;;;;;;;;10.15;13.601;7.65;10.251;;;;;;;;;2.8;7.7;3.05;83.875;;;18;10.8
Pamplona;Abaigar Izarra Plaza;47.02;705.752;20.4;27.336;5.1;6.834;4.13;97.468;;;;;;;;;15.01;201.134;;;;;;;;;;;2.38;6.545;;;;;39.65;23.79
Sevilla;Pino Montano Emvisesa;47.65;77.714;18;24.12;7.8;10.452;3.5;8.26;;;;;;;;;11.05;14.807;;;;;;;;;;;3.85;105.875;3.45;94.875;;;;
Segovia;Construmad;48.26;682.384;21.336;2.859.024;5.334;714.756;3.5;8.26;;;;;;;;;18.09;242.406;;;;;;;;;;;;;;;;;;
;;49.56;740.184;17.9;23.986;6.4;8.576;3;7.08;2.8;6.608;;;;;;;9.86;132.124;8.4;11.256;;;;;;;;;;;1.2;3.3;;;;
Sevilla;Coca Cola;49.6;782.765;16.05;21.507;7.15;9.581;4.6;10.856;;;;;;;;;10.45;14.003;6.3;8.442;;;;;;;;;2.8;7.7;2.25;61.875;;;;
;;50.1;707.958;20.8;27.872;5.2;6.968;3.59;84.724;;;;;;;;;12.22;163.748;8.29;111.086;;;;;;;;;;;;;;;;
Sevilla;Torreblanca / Alberchigo;50.11;773.576;16.752;2.244.768;4.188;561.192;3.9;9.204;;;;;;;;;12.3;16.482;8.55;11.457;;;;;;;;;4.42;12.155;;;;;;
Albacete;Santa Quiteria;50.21;791.575;17.232;2.309.088;4.308;577.272;3.98;93.928;2.59;61.124;;;;;;;10.2;13.668;8.23;110.282;;;;;;;;;;;3.67;100.925;;;7.75;4.65
Sevilla;Himalaya - Palmas Altas Sur;50.4;78.897;16;21.44;4;5.36;3.2;7.552;3.1;7.316;;;;;;;12;16.08;8.6;11.524;;;;;;;;;3.5;9.625;;;;;44.3;26.58
Sevilla;Torreblanca / Alberchigo;50.77;762.902;17.104;2.291.936;4.276;572.984;5.47;129.092;;;;;;;;;12.3;16.482;9.72;130.248;;;;;;;;;;;1.9;5.225;;;;
Barcelona;AQ Llevant;51.35;811.615;17.4;23.316;4.35;5.829;4.5;10.62;3.9;9.204;;;;;;;11.8;15.812;6.55;8.777;;;;;;;;;;;2.25;61.875;0.6;1.416;6.35;3.81
Sevilla;Pino Montano Emvisesa;51.7;785.585;17.9;23.986;7;9.38;3.5;8.26;;;;;;;;;11.4;15.276;7.85;10.519;;;;;;;;;2.2;6.05;1.85;50.875;;;;
Avilés;Aralis II - Arqura Homes;52.53;823.986;16.192;2.169.728;4.048;542.432;5.14;121.304;3.73;88.028;;;;;;;12.52;167.768;8.8;11.792;;;;;;;;;;;2.1;5.775;;;5.26;3.156
;Pino Montano ;52.85;85.672;18.55;24.857;8.1;10.854;5.3;12.508;;;;;;;;;14.2;19.028;;;;;;;;;;;6.7;18.425;;;;;;
;Uralita;53.27;850.384;16.77;224.718;6.14;82.276;3.67;86.612;;;;;;;;;10.71;143.514;8.28;110.952;;;;;;;;;2.24;6.16;3.04;8.36;2.42;57.112;3.66;2.196
Albacete;Santa Quiteria;53.32;876.452;16.048;2.150.432;4.012;537.608;3.3;7.788;3.27;77.172;;;;;;;10.87;145.658;8.79;117.786;;;;;;;;;;;5.96;16.39;1.07;25.252;;
Murcia ;Balcon del Norte - Condestable;53.45;819.991;18.888;2.530.992;4.722;632.748;3.98;93.928;3.11;73.396;;;;;;;11.83;158.522;8.69;116.446;;;;;;;;;;;2.23;61.325;;;9;5.4
Sevilla;M10 Bermejales;53.49;826.773;17.19;230.346;7.26;97.284;3.5;8.26;;;;;;;;;10.45;14.003;9.82;131.588;;;;;;;;;2.84;7.81;2.43;66.825;;;;
Sevilla;Torreblanca / Alberchigo;53.77;85.142;16.824;2.254.416;4.206;563.604;5.12;120.832;;;;;;;;;12.62;169.108;9.42;126.228;;;;;;;;;5.58;15.345;;;;;;
Sevilla;Macarena 40 / Aniceto;53.83;83.813;17.38;232.892;7;9.38;4.07;96.052;;;;;;;;;12.04;161.336;8;10.72;;;;;;;;;3;8.25;2.34;6.435;;;;
Pamplona;Abaigar Izarra Plaza;53.92;833.549;17.76;237.984;4.44;59.496;5.12;120.832;;;;;;;;;11.47;153.698;10.96;146.864;;;;;;;;;2.21;60.775;1.96;5.39;;;20.4;12.24
Málaga;Guadiaro;53.95;804.257;20;26.8;5;6.7;4.31;101.716;;;;;;;;;12.01;160.934;9.98;133.732;;;;;;;;;;;2.65;72.875;;;;
Sevilla;Torreblanca / Alberchigo;53.97;86.691;16.176;2.167.584;4.044;541.896;5.27;124.372;;;;;;;;;12.87;172.458;9.23;123.682;;;;;;;;;;;6.38;17.545;;;;
Sevilla;Torreblanca / Alberchigo;54.05;789.241;18.21;244.014;7.05;9.447;3.84;90.624;;;;;;;;;12.06;161.604;11.06;148.204;;;;;;;;;;;1.83;50.325;;;;
Segovia;Construmad;54.11;760.774;26;34.84;6.5;8.71;3.5;8.26;;;;;;;;;18.11;242.674;;;;;;;;;;;;;;;;;;
Sevilla;Torreblanca / Alberchigo;54.15;867.771;16.472;2.207.248;4.118;551.812;5.27;124.372;;;;;;;;;12.87;172.458;9.15;12.261;;;;;;;;;;;6.27;172.425;;;;
Madrid;Borea Arroyo Fresno Portablanca / Fcc;54.54;812.379;27.912;3.740.208;6.978;935.052;3.64;85.904;;;;;;;;;12.86;172.324;;;;;;;;;;;;;3.15;86.625;;;13.93;8.358
;Pino Montano ;54.9;83.709;16.25;21.775;7.15;9.581;4;9.44;;;;;;;;;13.4;17.956;9.8;13.132;;;;;;;;;4.3;11.825;;;;;;
Sevilla;Pino Montano Emvisesa;55.05;88.002;18.4;24.656;7;9.38;3.45;8.142;;;;;;;;;10.4;13.936;8.2;10.988;;;;;;;;;2.25;61.875;5.35;147.125;;;;
;;55.1;774.958;24.8;33.232;6.2;8.308;3.59;84.724;;;;;;;;;12.22;163.748;8.29;111.086;;;;;;;;;;;;;;;;
;SUNP-AE-1;55.39;863.921;16.71;223.914;8.01;107.334;4.48;105.728;;;;;;;;;12.08;161.872;8.72;116.848;;;;;;;;;1.12;3.08;4.27;117.425;;;;
Bilbao;Luz Enea - Pryconsa;55.58;876.742;17.576;2.355.184;4.394;588.796;3.61;85.196;3.08;72.688;;;;;;;12.55;16.817;9.85;13.199;;;;;;;;;4.52;12.43;;;;;10.27;6.162
Barcelona;Marcelona Montjuit - Culmia;55.96;873.338;19.28;258.352;4.82;64.588;3.59;84.724;;;;;;;;;11.58;155.172;10.53;141.102;;;;;;;;;;;6.16;16.94;;;15.37;9.222
;SUNP-AE-1;56.24;894.772;17.33;232.222;7;9.38;4.66;109.976;;;;;;;;;12.01;160.934;8.6;11.524;;;;;;;;;0.93;25.575;5.71;157.025;;;;
Sevilla;Cros Pirotecnia;56.27;935.878;16.32;218.688;7.19;96.346;3.83;90.388;;;;;;;;;10.07;134.938;8.21;110.014;;;;;;;;;4.35;119.625;4.41;121.275;1.89;44.604;;
Sevilla;M10 Bermejales;56.91;88.215;17.15;22.981;8.6;11.524;3.51;82.836;;;;;;;;;11.75;15.745;9.96;133.464;;;;;;;;;3.42;9.405;2.52;6.93;;;;
Sevilla;Pino Montano Emvisesa;57.1;94.259;16;21.44;7;9.38;4.2;9.912;;;;;;;;;11.1;14.874;8.7;11.658;;;;;;;;;2.8;7.7;5.3;14.575;2;4.72;;
Sevilla;Pol. Aerpuerto;57.16;91.4;16.68;223.512;7.61;101.974;4.59;108.324;;;;;;;;;13;17.42;8.1;10.854;;;;;;;;;3.15;86.625;4.03;110.825;;;;
Málaga;Guadiaro;57.21;902.586;20;26.8;5;6.7;3.67;86.612;3.44;81.184;;;;;;;12.35;16.549;8.25;11.055;;;;;;;;;;;4.5;12.375;;;;
Sevilla;Cros Pirotecnia;57.24;949.581;17.24;231.016;7.19;96.346;3.83;90.388;;;;;;;;;10.07;134.938;8.21;110.014;;;;;;;;;4.35;119.625;4.46;12.265;1.89;44.604;3;1.8
Sevilla;Pino Montano Emvisesa;57.25;919.565;16.2;21.708;7.05;9.447;3.4;8.024;;;;;;;;;12.8;17.152;9.45;12.663;;;;;;;;;3.55;97.625;4.8;13.2;;;;
Madrid;Gilmar El Retiro;57.3;87.327;19.24;257.816;4.81;64.454;4.15;9.794;3.7;8.732;;;;;;;13.3;17.822;10.3;13.802;;;;;;;;;;;1.8;4.95;;;;
;SUNP-AE-1;57.31;873.353;18.33;245.622;8.23;110.282;3.36;79.296;2.37;55.932;;;;;;;12.93;173.262;8.76;117.384;;;;;;;;;1.1;3.025;2.23;61.325;;;;
Terrasa;Gasometro - Metrovacesa;57.4;95.939;15.52;207.968;3.88;51.992;3.5;8.26;2.3;5.428;;;;;;;10.2;13.668;6.2;8.308;6.2;8.308;2.4;6.6;;;;;;;6.1;16.775;1.1;2.596;55;33
Sevilla;Cros Pirotecnia;57.44;944.617;16.33;218.822;7.19;96.346;3.44;81.184;;;;;;;;;10.54;141.236;9.5;12.73;;;;;;;;;4.8;13.2;3.75;103.125;1.89;44.604;4.26;2.556
Sevilla;Macarena 40 / Aniceto;57.97;893.546;17.62;236.108;7.87;105.458;3.54;83.544;;;;;;;;;12.63;169.242;9.36;125.424;;;;;;;;;;;2.5;6.875;4.45;10.502;;
La Coruña;Caleida - Metrovacesa;58;94.16;25.36;339.824;6.34;84.956;5;11.8;;;;;;;;;12.4;16.616;;;;;;;;;;;2.8;7.7;3;8.25;3.1;7.316;3.7;2.22
Madrid;Gilmar El Retiro;58;885.395;19.2;25.728;4.8;6.432;4.35;10.266;3.7;8.732;;;;;;;13.7;18.358;10.4;13.936;;;;;;;;;;;1.85;50.875;;;;
Sevilla;Pol. Aerpuerto;58.35;886.641;18.4;24.656;7.95;10.653;3.98;93.928;;;;;;;;;14.54;194.836;8.93;119.662;;;;;;;;;2.3;6.325;2.25;61.875;;;;
Sevilla;Torreblanca / Alberchigo;58.43;95.554;17.56;235.304;4.39;58.826;7.16;168.976;;;;;;;;;12.4;16.616;9.86;132.124;;;;;;;;;7.06;19.415;;;;;;
Sevilla;Pol. Aerpuerto;58.46;887.308;23.11;309.674;7.42;99.428;3.97;93.692;;;;;;;;;10.54;141.236;8.92;119.528;;;;;;;;;2.26;6.215;2.24;6.16;;;;
Sevilla;Palmas Altas Sur;58.5;934.845;16.9;22.646;8.25;11.055;4.5;10.62;;;;;;;;;12.05;16.147;9.35;12.529;;;;;;;;;2.5;6.875;4.95;136.125;;;;
Málaga;Zitizen;58.6;88.742;22.08;295.872;5.52;73.968;3.4;8.024;3.3;7.788;;;;;;;13;17.42;8.9;11.926;;;;;;;;;;;2.4;6.6;;;6.5;3.9
Sevilla;Torreblanca / Alberchigo;58.96;883.598;21.608;2.895.472;5.402;723.868;5.88;138.768;;;;;;;;;13.33;178.622;10.36;138.824;;;;;;;;;;;2.38;6.545;;;;
Málaga;Zitizen;59;89.38;22.24;298.016;5.56;74.504;3.4;8.024;3.4;8.024;;;;;;;13;17.42;9;12.06;;;;;;;;;;;2.4;6.6;;;6;3.6
Sevilla;San Jerónimo;59.18;925.741;16.3;21.842;13.38;179.292;3.82;90.152;;;;;;;;;10.33;138.422;8.7;11.658;;;;;;;;;3.17;87.175;3.48;9.57;;;;
;Pino Montano ;59.25;928.845;19.4;25.996;7.4;9.916;5;11.8;;;;;;;;;12.7;17.018;8.8;11.792;;;;;;;;;5.95;163.625;;;;;;
Sevilla;San Jerónimo;59.3;95.146;17.7;23.718;10.39;139.226;3.82;90.152;;;;;;;;;10.33;138.422;8.7;11.658;;;;;;;;;4.88;13.42;3.48;9.57;;;;
Sevilla;Cros Pirotecnia;59.41;964.463;18.78;251.652;6.27;84.018;3.88;91.568;;;;;;;;;10.67;142.978;10.07;134.938;;;;;;;;;3.82;10.505;3.73;102.575;2.19;51.684;;
Sevilla;Pino Montano Emvisesa;59.45;98.686;16.55;22.177;7.35;9.849;4.55;10.738;;;;;;;;;11.7;15.678;9.1;12.194;;;;;;;;;4.75;130.625;5.45;149.875;;;;
Sevilla;Pino Montano Emvisesa;59.6;96.301;18.15;24.321;7.1;9.514;3.95;9.322;;;;;;;;;12.2;16.348;9.4;12.596;;;;;;;;;3.8;10.45;5;13.75;;;;
Sevilla;Pino Montano Emvisesa;59.85;94.617;18.2;24.388;7.15;9.581;5.15;12.154;;;;;;;;;12.7;17.018;10.15;13.601;;;;;;;;;3.1;8.525;3.4;9.35;;;;
Sevilla;Pino Montano Emvisesa;59.85;938.505;18.7;25.058;7;9.38;3.5;8.26;;;;;;;;;14.4;19.296;9.1;12.194;;;;;;;;;3.75;103.125;3.4;9.35;;;;
Sevilla;Torreblanca / Alberchigo;59.99;975.235;18.224;2.442.016;4.556;610.504;4.65;10.974;;;;;;;;;13.79;184.786;9.98;133.732;;;;;;;;;;;8.79;241.725;;;;
Manresa;La Llum de Manresa - Metrovacesa;60;94.317;18.35;24.589;8.45;11.323;5.35;12.626;;;;;;;;;12.6;16.884;9.25;12.395;;;;;;;;;6;16.5;;;;;;
Málaga;Zitizen;60.1;90.854;22.64;303.376;5.66;75.844;3.4;8.024;3.4;8.024;;;;;;;13.1;17.554;9.5;12.73;;;;;;;;;;;2.4;6.6;;;8.9;5.34
Bilbao;Luz Enea - Pryconsa;60.12;951.714;19.376;2.596.384;4.844;649.096;3.57;84.252;2.93;69.148;;;;;;;13.7;18.358;10.04;134.536;;;;;;;;;5.66;15.565;;;;;21.23;12.738
Málaga;Guadiaro;60.34;938.444;20.512;2.748.608;5.128;687.152;3.75;8.85;;;;;;;;;12.83;171.922;11.04;147.936;;;;;;;;;;;4.98;13.695;2.1;4.956;;
Sevilla;Cros Pirotecnia;60.34;1.016.408;17.64;236.376;6.97;93.398;3.89;91.804;;;;;;;;;10.41;139.494;8.98;120.332;;;;;;;;;5.11;140.525;5.45;149.875;1.89;44.604;4.26;2.556
Granada;Alma F2;60.7;92.537;21.84;292.656;5.46;73.164;4;9.44;3.8;8.968;;;;;;;13.4;17.956;9.9;13.266;;;;;;;;;;;2.3;6.325;;;8.1;4.86
Sevilla;M10 Bermejales;60.9;937.536;17.25;23.115;9.55;12.797;3.56;84.016;;;;;;;;;15.34;205.556;9.16;122.744;;;;;;;;;3.43;94.325;2.61;71.775;;;;
Málaga;Zitizen;61.3;92.462;22.08;295.872;5.52;73.968;3.7;8.732;3.1;7.316;;;;;;;13.8;18.492;10.7;14.338;;;;;;;;;;;2.4;6.6;;;13.3;7.98
Albacete;Santa Quiteria;61.35;900.201;20.696;2.773.264;5.174;693.316;2.65;6.254;2.34;55.224;;;;;;;12.1;16.214;8.66;116.044;7.8;10.452;;;;;;;;;1.93;53.075;;;132.63;79.578
Segovia;Construmad;61.49;948.067;22.87;306.458;8.2;10.988;3.58;84.488;3.32;78.352;;;;;;;10.81;144.854;8.9;11.926;;;;;;;;;3.81;104.775;;;;;;
Bilbao;Luz Enea - Pryconsa;61.56;944.637;20.656;2.767.904;5.164;691.976;3.55;8.378;3.06;72.216;;;;;;;15.78;211.452;9.64;129.176;;;;;;;;;3.71;102.025;;;;;10.65;6.39
Barcelona;Themos Riera - Culmia;61.79;99.805;20.34;272.556;8.27;110.818;3.6;8.496;3.12;73.632;;;;;;;10.33;138.422;8.93;119.662;;;;;;;;;4.7;12.925;2.5;6.875;;;9.29;5.574
Sevilla;Cros Pirotecnia;61.89;1.004.505;18.78;251.652;8.35;11.189;3.88;91.568;;;;;;;;;10.67;142.978;10.07;134.938;;;;;;;;;4.52;12.43;3.73;102.575;1.89;44.604;2.3;1.38
Málaga;Guadiaro;62.4;995.727;20.456;2.741.104;5.114;685.276;3.62;85.432;2.96;69.856;;;;;;;13.72;183.848;9.03;121.002;;;;;;;;;;;4.09;112.475;3.41;80.476;;
Sevilla;Cros Pirotecnia;63.32;1.034.884;18.21;244.014;6.98;93.532;4.44;104.784;;;;;;;;;12.17;163.078;10.89;145.926;;;;;;;;;6.38;17.545;2;5.5;2.25;5.31;2.32;1.392
Sevilla;M10 Bermejales;63.38;996.373;18.62;249.508;7.88;105.592;3.6;8.496;;;;;;;2.18;51.448;10.11;135.474;7.38;98.892;7.36;98.624;;;;;;;2.56;7.04;3.69;101.475;;;;
Málaga;Guadiaro;64.05;100.005;22.904;3.069.136;5.726;767.284;5.1;12.036;3.49;82.364;2.97;70.092;;;;;13.28;177.952;8.24;110.416;;;;;;;;;;;;;2.34;55.224;;
Sevilla;M10 Bermejales;64.19;1.011.001;18.62;249.508;8.23;110.282;3.75;8.85;;;;;;;2.4;5.664;10.2;13.668;7.38;98.892;7.36;98.624;;;;;;;2.56;7.04;3.69;101.475;;;;
Pamplona;Abaigar Izarra Plaza;64.4;1.018.735;21.8;29.212;9.37;125.558;4.34;102.424;3.73;88.028;;;;;;;11.67;156.378;8.28;110.952;;;;;;;;;2.8;7.7;2.41;66.275;;;10.58;6.348
Córdoba;Terrazas de Sta. Rosa / Insur;64.41;106.539;17.78;238.252;6.92;92.728;4.9;11.564;2.99;70.564;;;;;;;12.66;169.644;9.97;133.598;;;;;;;;;3.35;92.125;3.85;105.875;1.99;46.964;5.65;3.39
Sevilla;Coca Cola;64.85;102.262;22.5;30.15;8.95;11.993;5.8;13.688;;;;;;;;;11.95;16.013;8.95;11.993;;;;;;;;;2.6;7.15;4.1;11.275;;;;
Pamplona;Abaigar Izarra Plaza;64.97;1.022.773;24.32;325.888;6.08;81.472;3.91;92.276;3.89;91.804;;;;;;;11.94;159.996;9.68;129.712;;;;;;;;;2.85;78.375;2.3;6.325;;;19.66;11.796
Pamplona;Abaigar Izarra Plaza;65.26;1.034.798;24.016;3.218.144;6.004;804.536;4.58;108.088;3.7;8.732;;;;;;;11.9;15.946;9.68;129.712;;;;;;;;;3;8.25;2.38;6.545;;;20.46;12.276
Sevilla;M10 Bermejales;65.27;102.904;19.2;25.728;8.42;112.828;3.67;86.612;;;;;;;2.18;51.448;10.28;137.752;7.41;99.294;7.39;99.026;;;;;;;3;8.25;3.72;10.23;;;;
Madrid;Gilmar El Retiro;65.35;987.965;21.68;290.512;5.42;72.628;4.25;10.03;4.2;9.912;;;;;;;16.8;22.512;11.15;14.941;;;;;;;;;;;1.85;50.875;;;36.75;22.05
;Sedalis Resid. / Realia;65.43;1.044.687;22.96;307.664;5.74;76.916;3.66;86.376;3.5;8.26;;;;;;;12.75;17.085;10.09;135.206;;;;;;;;;3.64;10.01;3.09;84.975;;;9.52;5.712
Albacete;Santa Quiteria;65.92;100.871;25.336;3.395.024;6.334;848.756;3.25;7.67;2.96;69.856;;;;;;;13.11;175.674;10.53;141.102;;;;;;;;;;;4.4;12.1;;;9.1;5.46
Valencia;Font de San Lluis - Aproperties;65.94;1.087.047;21.592;2.893.328;5.398;723.332;3.57;84.252;3.15;7.434;;;;;;;12.71;170.314;9.67;129.578;;;;;;;;;3.5;9.625;5.33;146.575;1.02;24.072;5.26;3.156
Madrid;Gilmar El Retiro;65.95;107.048;22.44;300.696;5.61;75.174;3.85;9.086;3.4;8.024;;;;;;;12.4;16.616;10.25;13.735;;;;;;;;;6.3;17.325;1.7;4.675;;;;
Granada;Alma F2;66;107.583;19.5;26.13;6.1;8.174;4.2;9.912;4.2;9.912;;;;;;;13.4;17.956;11.1;14.874;;;;;;;;;5.2;14.3;2.3;6.325;;;9.6;5.76
Málaga;Zitizen;66.1;104.879;21.6;28.944;8.8;11.792;3.7;8.732;3.3;7.788;;;;;;;12.9;17.286;9.3;12.462;;;;;;;;;4.1;11.275;2.4;6.6;;;12.1;7.26
Sevilla;Cros Pirotecnia;66.27;1.135.371;17.5;23.45;7.81;104.654;5.62;132.632;;;;;;;;;12.23;163.882;9.11;122.074;;;;;;;;;6.35;174.625;5.76;15.84;1.89;44.604;5.16;3.096
Sevilla;M10 Bermejales;66.55;1.050.977;18.81;252.054;10.02;134.268;3.6;8.496;;;;;;;2.18;51.448;10.11;135.474;7.38;98.892;7.34;98.356;;;;;;;3.42;9.405;3.69;101.475;;;;
