ZONA;PROMOT.;A_TOTAL_(m2);P_TOTAL_(m);A_SALON;P_SALON;A_COCINA;P_COCINA;A_BAÑO1;P_BAÑO1;A_BAÑO2;P_BAÑO2;A_BAÑO3;P_BAÑO3;A_BAÑO4;P_BAÑO4;A_ASEO;P_ASEO;A_DORM1;P_DORM1;A_DORM2;P_DORM2;A_DORM3;P_DORM3;A_DORM4;P_DORM4;A_DORM5;P_DORM5;A_DORM6;P_DORM6;A_ENTRADA;P_ENTRADA;A_PASILLO;P_PASILLO;A_LAVADERO;P_LAVADERO;A_TERRAZA;P_TERRAZA
Sevilla;Pol. Aerpuerto;66.62;1.039.114;18.38;246.292;7.42;99.428;3.52;83.072;2.65;6.254;;;;;;;11.59;155.306;9.1;12.194;8.04;107.736;;;;;;;2.26;6.215;3.66;10.065;;;;
Sevilla;Pol. Aerpuerto;66.63;1.035.141;18.6;24.924;7.42;99.428;3.58;84.488;2.45;5.782;;;;;;;11.61;155.574;8.9;11.926;8.34;111.756;;;;;;;2.26;6.215;3.47;95.425;;;;
Pamplona;Abaigar Izarra Plaza;66.65;1.054.654;22.01;294.934;9.37;125.558;4.42;104.312;3.87;91.332;;;;;;;11.65;15.611;9.87;132.258;;;;;;;;;3.03;83.325;2.43;66.825;;;10.4;6.24
;Cisneo Alto;66.73;1.073.807;18.87;252.858;12.17;163.078;4.63;109.268;;;;;;;;;12.54;168.036;9.13;122.342;;;;;;;;;6.61;181.775;2.78;7.645;;;;
;Cisneo Alto;66.74;1.069.531;18.79;251.786;8.93;119.662;4.52;106.672;3.77;88.972;;;;;;;14.28;191.352;9.47;126.898;;;;;;;;;2.69;73.975;2.3;6.325;1.99;46.964;2.87;1.722
;SUNP-AE-1;66.75;1.057.236;18.15;24.321;7.26;97.284;3.36;79.296;2.37;55.932;;;;;;;12.12;162.408;8.09;108.406;8;10.72;;;;;;;1.15;31.625;6.25;171.875;;;;
Sevilla;Pol. Aerpuerto;66.76;1.036.196;18.42;246.828;7.42;99.428;3.52;83.072;2.65;6.254;;;;;;;10.41;139.494;9.86;132.124;8.9;11.926;;;;;;;2.26;6.215;3.32;9.13;;;;
Sevilla;Aniceto Sáez;66.78;1.047.564;18.02;241.468;7.02;94.068;2.86;67.496;2.85;6.726;;;;;;;12.31;164.954;8.82;118.188;8.2;10.988;;;;;;;3.22;8.855;3.48;9.57;;;13.11;7.866
Málaga;Zitizen;67;104.534;22.4;30.016;8.8;11.792;3.5;8.26;3.5;8.26;;;;;;;13.8;18.492;9.6;12.864;;;;;;;;;3.6;9.9;1.8;4.95;;;12.1;7.26
Granada;Alma F2;67;109.127;20.3;27.202;6.1;8.174;4.4;10.384;4.2;9.912;;;;;;;13.4;17.956;11.1;14.874;;;;;;;;;5.2;14.3;2.3;6.325;;;9.7;5.82
Valencia;Font de San Lluis - Aproperties;67.02;1.115.508;21.24;284.616;5.31;71.154;3.6;8.496;3.21;75.756;;;;;;;13.77;184.518;9.03;121.002;;;;;;;;;2.14;5.885;7.4;20.35;1.32;31.152;4.8;2.88
La Coruña;Habitat - Torre Amura;67.2;110.301;21.92;293.728;5.48;73.432;5;11.8;3.4;8.024;;;;;;;13.4;17.956;8.8;11.792;;;;;;;;;2.2;6.05;3.7;10.175;3.3;7.788;;
Sevilla;Pino Montano Emvisesa;67.2;109.263;18.55;24.857;7.05;9.447;3.8;8.968;3.15;7.434;;;;;;;10.65;14.271;7.7;10.318;7.7;10.318;;;;;;;4.35;119.625;4.25;116.875;;;;
Sevilla;Hespérides;67.25;1.016.773;21.816;2.923.344;5.454;730.836;7.7;18.172;;;;;;;;;17.31;231.954;12.34;165.356;;;;;;;;;2.63;72.325;;;;;;
Sevilla;Macarena 40 / Aniceto;67.26;1.015.923;18.76;251.384;7.34;98.356;3.65;8.614;;;;;;;;;13.19;176.746;10.36;138.824;8.47;113.498;;;;;;;2.28;6.27;3.21;88.275;;;;
;;67.3;1.031.579;19.41;260.094;7.52;100.768;4.69;110.684;;;;;;;;;10.98;147.132;10.05;13.467;8.84;118.456;;;;;;;2.85;78.375;2.96;8.14;;;;
Sevilla;Bermes II / Insur;67.43;110.623;21.752;2.914.768;5.438;728.692;4.08;96.288;3.88;91.568;;;;;;;13.09;175.406;10.11;135.474;;;;;;;;;4.81;132.275;2.59;71.225;1.68;39.648;10.21;6.126
Sevilla;San Jerónimo;67.5;1.097.535;18.32;245.488;7.96;106.664;3.52;83.072;3.89;91.804;;;;;;;11.24;150.616;7.28;97.552;6.96;93.264;;;;;;;3.19;87.725;5.14;14.135;;;2.1;1.26
Sevilla;Macarena 40 / Aniceto;67.57;108.542;18.6;24.924;10.59;141.906;4.9;11.564;;;;;;;;;12.51;167.634;11.75;15.745;;;;;;;;;4.76;13.09;4.46;12.265;;;;
Granada;Alma F2;67.6;111.614;20.8;27.872;8.5;11.39;4;9.44;3.9;9.204;;;;;;;12.2;16.348;9;12.06;;;;;;;;;3.6;9.9;5.6;15.4;;;;
Sevilla;Pol. Aerpuerto;67.62;1.055.244;18.48;247.632;7.49;100.366;4.01;94.636;2.87;67.732;;;;;;;13.1;17.554;8.07;108.138;8;10.72;;;;;;;2.41;66.275;3.19;87.725;;;;
;Patraix / Realia;67.62;1.080.288;20.45;27.403;7.03;94.202;4.3;10.148;4.04;95.344;;;;;;;15.36;205.824;10.12;135.608;;;;;;;;;2.99;82.225;3.33;91.575;;;34.78;20.868
Sevilla;San Jerónimo;67.84;1.079.087;18.39;246.426;7.96;106.664;3.52;83.072;3.1;7.316;;;;;;;11.76;157.584;8.64;115.776;7.2;9.648;;;;;;;3.22;8.855;4.05;111.375;;;2.1;1.26
La Coruña;Caleida - Metrovacesa;67.9;117.725;20;26.8;5;6.7;5.4;12.744;3.3;7.788;;;;;;;12.7;17.018;8;10.72;;;;;;;;;5.9;16.225;4.6;12.65;3;7.08;;
Sevilla;Macarena 40 / Aniceto;67.91;1.066.156;18.23;244.282;7.03;94.202;4.58;108.088;3.21;75.756;;;;;;;12.01;160.934;8.87;118.858;8.54;114.436;;;;;;;2.25;61.875;3.19;87.725;;;;
Albacete;Santa Quiteria;67.93;978.194;28.368;3.801.312;7.092;950.328;3.78;89.208;2.88;67.968;;;;;;;15.64;209.576;10.17;136.278;;;;;;;;;;;;;;;15.71;9.426
Sevilla;M10 Bermejales;67.95;1.062.018;19.75;26.465;10;13.4;3.82;90.152;;;;;;;2.24;52.864;10.37;138.958;7.72;103.448;7.69;103.046;;;;;;;2.56;7.04;3.8;10.45;;;;
;SUNP-AE-1;67.95;1.076.001;18.14;243.076;7.57;101.438;3.57;84.252;2.52;59.472;;;;;;;12.44;166.696;8.26;110.684;8.12;108.808;;;;;;;1.27;34.925;6.06;16.665;;;;
Sevilla;Pol. Aerpuerto;67.98;1.050.555;19.4;25.996;8.02;107.468;3.56;84.016;2.65;6.254;;;;;;;11.94;159.996;8.94;119.796;8.06;108.004;;;;;;;2.28;6.27;3.13;86.075;;;;
Sevilla;Torremagna;68;107.425;22.3;29.882;7.9;10.586;3.8;8.968;3.2;7.552;;;;;;;15.8;21.172;8.5;11.39;;;;;;;;;4.3;11.825;2.2;6.05;;;26.5;15.9
Córdoba;Terrazas de Sta. Rosa / Insur;68.01;109.737;18.91;253.394;8.39;112.426;4.31;101.716;3.81;89.916;;;;;;;14.62;195.908;10.65;14.271;;;;;;;;;7.32;20.13;;;;;4;2.4
Granada;Alma F2;68.1;99;26.6;35.644;9;12.06;4;9.44;;;;;;;;;15.5;20.77;10.4;13.936;;;;;;;;;;;2.6;7.15;;;8.8;5.28
Valladolid;Resid. Castilla;68.1;1.090.725;19.2;25.728;9.45;12.663;4.4;10.384;;;;;;;;;15.1;20.234;10.15;13.601;;;;;;;;;7.55;207.625;1;2.75;1.25;2.95;9.2;5.52
;SUNP-AE-1;68.11;1.049.093;18.53;248.302;7.99;107.066;3.36;79.296;2.37;55.932;;;;;;;12.93;173.262;8.71;116.714;8.69;116.446;;;;;;;1.1;3.025;4.43;121.825;;;;
Sevilla;Pino Montano Emvisesa;68.2;1.064.195;18;24.12;7.15;9.581;3.5;8.26;3.15;7.434;;;;;;;12.05;16.147;11.3;15.142;7.2;9.648;;;;;;;2.2;6.05;3.65;100.375;;;;
;Uralita;68.25;107.409;19.94;267.196;7.29;97.686;4.5;10.62;;;;;;;2.93;69.148;10.76;144.184;8.68;116.312;8.21;110.014;;;;;;;2.65;72.875;3.29;90.475;;;;
Málaga;Zitizen;68.3;108.61;24.5;32.83;7.2;9.648;3.5;8.26;3.3;7.788;;;;;;;13.3;17.822;9.3;12.462;;;;;;;;;4.4;12.1;2.8;7.7;;;14.1;8.46
Sevilla;Pol. Aerpuerto;68.32;1.061.864;19.36;259.424;7.49;100.366;3.6;8.496;2.65;6.254;;;;;;;11.54;154.636;9.29;124.486;8.53;114.302;;;;;;;2.42;6.655;3.44;9.46;;;;
;SUNP-AE-1;68.35;108.926;18.19;243.746;7.26;97.284;3.38;79.768;3.36;79.296;;;;;;;12.6;16.884;8.13;108.942;8.01;107.334;;;;;;;1.15;31.625;6.27;172.425;;;;
;SUNP-AE-1;68.54;1.089.976;18.49;247.766;7.59;101.706;3.78;89.208;3.14;74.104;;;;;;;12.03;161.202;8.25;11.055;8.1;10.854;;;;;;;1.24;3.41;5.92;16.28;;;;
Granada;Alma F2;68.6;99.67;26.6;35.644;9.2;12.328;4;9.44;;;;;;;;;15.5;20.77;10.7;14.338;;;;;;;;;;;2.6;7.15;;;7.9;4.74
;Uralita;68.62;109.088;19.9;26.666;6.61;88.574;4.46;105.256;;;;;;;2.93;69.148;10.68;143.112;8.69;116.446;8.21;110.014;;;;;;;2.65;72.875;3.29;90.475;1.2;2.832;1.88;1.128
Sevilla;Pino Montano Emvisesa;68.65;1.107.515;18.5;24.79;7.15;9.581;3.95;9.322;2.9;6.844;;;;;;;12.45;16.683;8.05;10.787;7.3;9.782;;;;;;;4.55;125.125;3.8;10.45;;;;
Madrid;El Pinar Caleruega - Proceparsa;68.66;106.186;23.53;315.302;6.5;8.71;5.07;119.652;4.41;104.076;;;;;;;14.13;189.342;11.82;158.388;;;;;;;;;;;3.2;8.8;;;;
Barcelona;AQ Llevant;68.75;107.929;19.3;25.862;8.95;11.993;3.65;8.614;3.55;8.378;;;;;;;12.45;16.683;7.5;10.05;7.35;9.849;;;;;;;2.8;7.7;3.2;8.8;;;9;5.4
Sevilla;San Jerónimo;68.77;1.094.339;18.12;242.808;8.52;114.168;3.52;83.072;3.18;75.048;;;;;;;11.93;159.862;8.89;119.126;7.2;9.648;;;;;;;3.38;9.295;4.03;110.825;;;2.06;1.236
Sevilla;San Jerónimo;68.84;1.076.764;19.47;260.898;9.84;131.856;3.2;7.552;;;;;;;2.86;67.496;11.62;155.708;7.99;107.066;7.3;9.782;;;;;;;2.58;7.095;3.98;10.945;;;2.06;1.236
Sevilla;Macarena 40 / Aniceto;68.84;1.151.587;19.31;258.754;8.17;109.478;5.19;122.484;3.63;85.668;;;;;;;14.45;19.363;8.22;110.148;;;;;;;;;4.92;13.53;4.95;136.125;;;;
;SUNP-AE-1;68.87;1.110.226;18.03;241.602;7.33;98.222;4.69;110.684;2.04;48.144;;;;;;;12.36;165.624;8;10.72;8;10.72;;;;;;;1.24;3.41;7.18;19.745;;;;
Sevilla;Pino Montano Emvisesa;68.95;107.948;18;24.12;7;9.38;3.45;8.142;2.4;5.664;;;;;;;13.15;17.621;9.6;12.864;8.55;11.457;;;;;;;2.5;6.875;4.3;11.825;;;;
;Taormina / Pryconsa Cantalejo;69.03;1.010.136;22.18;297.212;7.72;103.448;5.25;12.39;;;;;;;;;17.69;237.046;13.95;18.693;;;;;;;;;;;2.24;6.16;;;52.6;31.56
;SUNP-AE-1;69.05;1.113.118;18.04;241.736;7.02;94.068;3.92;92.512;2.94;69.384;;;;;;;12.01;160.934;8.38;112.292;8.38;112.292;;;;;;;1.18;3.245;7.18;19.745;;;;
Sevilla;Torreblanca / Alberchigo;69.09;112.137;19.224;2.576.016;4.806;644.004;5.93;139.948;;;;;;;;;12.14;162.676;8.82;118.188;8.59;115.106;;;;;;;9.58;26.345;;;;;;
;SUNP-AE-1;69.11;1.090.681;19.53;261.702;7.48;100.232;3.57;84.252;2.38;56.168;;;;;;;12.4;16.616;8.21;110.014;8.17;109.478;;;;;;;1.26;3.465;6.11;168.025;;;;
Avilés;Aralis II - Arqura Homes;69.15;1.114.968;17.27;231.418;9.06;121.404;4.31;101.716;4.01;94.636;;;;;;;16.34;218.956;10.82;144.988;;;;;;;;;2.97;81.675;4.37;120.175;;;10.22;6.132
;Pino Montano ;69.2;1.086.325;19.1;25.594;7;9.38;3.25;7.67;3.15;7.434;;;;;;;11.8;15.812;10.1;13.534;8.15;10.921;;;;;;;6.65;182.875;;;;;1.6;0.96
Sevilla;Pino Montano Emvisesa;69.3;1.110.345;18.2;24.388;7;9.38;4.15;9.794;2.4;5.664;;;;;;;11;14.74;9.6;12.864;8.8;11.792;;;;;;;2.5;6.875;5.65;155.375;;;;
Sevilla;Macarena 40 / Aniceto;69.37;1.057.424;20.29;271.886;7.14;95.676;3.44;81.184;;;;;;;;;12.35;16.549;10.89;145.926;8.68;116.312;;;;;;;2.82;7.755;3.76;10.34;;;;
Sevilla;Pino Montano Emvisesa;69.4;112.658;18.45;24.723;7;9.38;3.9;9.204;3.35;7.906;;;;;;;11.45;15.343;9.15;12.261;7.4;9.916;;;;;;;2.35;64.625;6.35;174.625;;;;
Sevilla;Palmas Altas Sur;69.45;106.461;19.4;25.996;7.1;9.514;3.85;9.086;;;;;;;;;12.95;17.353;9.35;12.529;9.35;12.529;;;;;;;;;4.8;13.2;2.65;6.254;;
;Uralita;69.49;1.122.722;18.32;245.488;7.47;100.098;3.59;84.724;;;;;;;2.97;70.092;10.98;147.132;8.7;11.658;8.62;115.508;;;;;;;3.28;9.02;5.56;15.29;;;;
La Coruña;Caleida - Metrovacesa;69.6;117.81;18.3;24.522;8.1;10.854;5.2;12.272;3.5;8.26;;;;;;;12.2;16.348;10.3;13.802;;;;;;;;;6;16.5;2.8;7.7;3.2;7.552;4.8;2.88
Barcelona;AQ Llevant;69.65;1.106.845;17.05;22.847;8.35;11.189;4;9.44;3.9;9.204;;;;;;;14.1;18.894;7.9;10.586;7.55;10.117;;;;;;;3.6;9.9;2.45;67.375;0.75;1.77;13;7.8
;Uralita;69.71;111.232;19.49;261.166;7.68;102.912;3.39;80.004;4.46;105.256;;;;;;;10.63;142.442;9.08;121.672;8.02;107.468;;;;;;;2.85;78.375;4.11;113.025;;;;
Sevilla;Pino Montano Emvisesa;69.75;110.709;18;24.12;7.1;9.514;4.15;9.794;2.25;5.31;;;;;;;11.75;15.745;9.75;13.065;9.15;12.261;;;;;;;2.75;75.625;4.85;133.375;;;;
Sevilla;Macarena 40 / Aniceto;69.75;107.343;18.04;241.736;9.76;130.784;4.61;108.796;3.19;75.284;;;;;;;12.92;173.128;8.64;115.776;8.39;112.426;;;;;;;2.11;58.025;2.09;57.475;;;;
Sevilla;M10 Bermejales;69.8;1.096.432;18.93;253.662;10;13.4;4.41;104.076;;;;;;;2.4;5.664;10.91;146.194;8.5;11.39;8.15;10.921;;;;;;;2.54;6.985;3.96;10.89;;;;
Granada;Alma F2;69.8;112.111;21.9;29.346;8.6;11.524;4.4;10.384;4;9.44;;;;;;;13.7;18.358;10.1;13.534;;;;;;;;;2.2;6.05;4.9;13.475;;;10.1;6.06
;Uralita;69.82;111.92;19.9;26.666;6.61;88.574;4.46;105.256;;;;;;;2.93;69.148;10.68;143.112;8.69;116.446;8.21;110.014;;;;;;;2.65;72.875;3.29;90.475;2.4;5.664;1.88;1.128
Sevilla;Pino Montano Emvisesa;69.85;1.118.435;18.2;24.388;7;9.38;3.85;9.086;3.6;8.496;;;;;;;10.8;14.472;9.45;12.663;9.4;12.596;;;;;;;2.2;6.05;5.35;147.125;;;;
Sevilla;Hespérides;69.87;1.180.359;20.16;270.144;5.04;67.536;4.11;96.996;3.8;8.968;;;;;;;13.93;186.662;11.24;150.616;;;;;;;;;9.28;25.52;2.31;63.525;;;;
Sevilla;Pol. Aerpuerto;69.93;1.083.891;19.09;255.806;7.49;100.366;3.52;83.072;2.65;6.254;;;;;;;13.13;175.942;9.17;122.878;8.93;119.662;;;;;;;2.49;68.475;3.46;9.515;;;;
Sevilla;Macarena 40 / Aniceto;69.94;1.098.719;18.08;242.272;7.02;94.068;3.76;88.736;2.8;6.608;;;;;;;13.76;184.384;9.59;128.506;8.22;110.148;;;;;;;3.22;8.855;3.49;95.975;;;;
Sevilla;Torreblanca / Alberchigo;69.94;1.122.071;18.09;242.406;7.73;103.582;5.1;12.036;;;;;;;2.92;68.912;12.05;16.147;8.37;112.158;8.37;112.158;;;;;;;7.31;201.025;;;;;;
Sevilla;Pino Montano Emvisesa;69.95;111.388;18;24.12;7.05;9.447;3.95;9.322;2.3;5.428;;;;;;;11.8;15.812;9.75;13.065;9.1;12.194;;;;;;;2.4;6.6;5.6;15.4;;;;
;SUNP-AE-1;69.99;1.145.454;18.06;242.004;7.15;9.581;3.92;92.512;2.94;69.384;;;;;;;12.07;161.738;8.08;108.272;8.01;107.334;;;;;;;1.22;3.355;8.54;23.485;;;;
;SUNP-AE-1;69.99;1.110.861;19.96;267.464;7.09;95.006;3.92;92.512;2.88;67.968;;;;;;;12;16.08;8.41;112.694;8.38;112.292;;;;;;;1.17;32.175;6.18;16.995;;;;
Sevilla;Torreblanca / Alberchigo;70;113.714;19.488;2.611.392;4.872;652.848;5.32;125.552;3.67;86.612;;;;;;;12.21;163.614;8.45;11.323;8.37;112.158;;;;;;;7.62;20.955;;;;;;
La Coruña;Caleida - Metrovacesa;70;120.776;18;24.12;7.8;10.452;5.7;13.452;4;9.44;;;;;;;13;17.42;8.5;11.39;;;;;;;;;4.9;13.475;4.9;13.475;3.2;7.552;;
;Uralita;70;112.298;18.2;24.388;7.1;9.514;4.1;9.676;;;;;;;2.7;6.372;10.7;14.338;9.5;12.73;9.5;12.73;;;;;;;2.55;70.125;5.65;155.375;;;;
;SUNP-AE-1;70;1.132.466;18.23;244.282;7.07;94.738;3.92;92.512;3.81;89.916;;;;;;;12.13;162.542;8.5;11.39;8.14;109.076;;;;;;;1.15;31.625;7.05;193.875;;;;
Sevilla;Pino Montano Emvisesa;70;1.117.175;18.1;24.254;7;9.38;3.95;9.322;2.35;5.546;;;;;;;11.7;15.678;9.65;12.931;9.1;12.194;;;;;;;2.5;6.875;5.65;155.375;;;;
;Pino Montano ;70;1.096.715;18.2;24.388;7;9.38;3.4;8.024;2;4.72;;;;;;;11.9;15.946;11.5;15.41;8.65;11.591;;;;;;;7.35;202.125;;;;;;
;Pino Montano ;70;1.119.365;18;24.12;7.2;9.648;3.8;8.968;2.3;5.428;;;;;;;11.35;15.209;10;13.4;8.9;11.926;;;;;;;8.45;232.375;;;;;;
;Pino Montano ;70;1.112.045;18.3;24.522;7.6;10.184;3.75;8.85;2.6;6.136;;;;;;;10.9;14.606;10.45;14.003;8.65;11.591;;;;;;;2.75;75.625;5;13.75;;;;
La Coruña;Caleida - Metrovacesa;70.9;119.552;19.6;26.264;8.1;10.854;5.2;12.272;3.5;8.26;;;;;;;12.2;16.348;10.3;13.802;;;;;;;;;6;16.5;2.8;7.7;3.2;7.552;4.8;2.88
Sevilla;Macarena 40 / Aniceto;70.9;1.101.599;18.48;247.632;10.02;134.268;4.42;104.312;;;;;;;;;13.97;187.198;8.46;113.364;8;10.72;;;;;;;3.61;99.275;3.94;10.835;;;;
Sevilla;Aniceto Sáenz;71.08;1.066.451;19.62;262.908;8.08;108.272;3.53;83.308;;;;;;;;;14.53;194.702;10.97;146.998;8.82;118.188;;;;;;;2.75;75.625;2.78;7.645;;;2.82;1.692
;;71.25;1.078.419;21.53;288.502;8.11;108.674;4.01;94.636;;;;;;;;;12.19;163.346;10.55;14.137;8.99;120.466;;;;;;;2.56;7.04;3.31;91.025;;;;
Sevilla;Coca Cola;71.4;111.768;23.92;320.528;5.98;80.132;3.75;8.85;;;;;;;;;11.9;15.946;8.75;11.725;8.4;11.256;;;;;;;6.45;177.375;2.25;61.875;;;1.9;1.14
La Coruña;Habitat - Torre Amura;71.7;124.761;20;26.8;7.2;9.648;5.1;12.036;4.4;10.384;;;;;;;12.1;16.214;8.6;11.524;;;;;;;;;3.8;10.45;7.5;20.625;3;7.08;;
Málaga;Guadiaro;71.7;1.073.892;21.416;2.869.744;5.354;717.436;4.03;95.108;;;;;;;;;13.91;186.394;12.28;164.552;9.05;12.127;;;;;;;;;3.66;10.065;2;4.72;;
Málaga;Zitizen;71.8;111.65;20.2;27.068;8.5;11.39;3.8;8.968;;;;;;;;;12.8;17.152;9.4;12.596;8.9;11.926;;;;;;;4;11;4.2;11.55;;;12.3;7.38
Sevilla;Coca Cola;71.9;113.458;23.92;320.528;5.98;80.132;4.75;11.21;;;;;;;;;11.4;15.276;8.75;11.725;8.4;11.256;;;;;;;6.45;177.375;2.25;61.875;;;1.6;0.96
Sevilla;Macarena 40 / Aniceto;71.91;1.091.523;19.69;263.846;11.87;159.058;4.87;114.932;;;;;;;;;12.59;168.706;8.84;118.456;8.5;11.39;;;;;;;2.78;7.645;2.77;76.175;;;;
;Cisneo Alto;72.15;1.145.529;19.2;25.728;7.87;105.458;4.79;113.044;;;;;;;;;12.7;17.018;9.46;126.764;8.92;119.528;;;;;;;3.69;101.475;5.52;15.18;;;23.82;14.292
Madrid;Mesena - Metrovacesa ;72.2;114.253;22.1;29.614;11.2;15.008;4.1;9.676;3.8;8.968;;;;;;;14.6;19.564;9.7;12.998;;;;;;;;;4.3;11.825;2.4;6.6;;;19.7;11.82
Málaga;Zitizen;72.2;112.405;19.4;25.996;8.1;10.854;3.6;8.496;;;;;;;;;13.7;18.358;9.6;12.864;9.3;12.462;;;;;;;4.7;12.925;3.8;10.45;;;12.1;7.26
Málaga;Zitizen;72.2;112.648;20.5;27.47;8.4;11.256;3.7;8.732;;;;;;;;;12.9;17.286;9.3;12.462;8.8;11.792;;;;;;;2.4;6.6;6.2;17.05;;;11.9;7.14
Pamplona;Abaigar Izarra Plaza;73.27;1.150.349;23.17;310.478;10.66;142.844;4.05;9.558;3.28;77.408;;;;;;;13.46;180.364;12;16.08;;;;;;;;;4.95;136.125;1.7;4.675;;;12.51;7.506
Avilés;Aralis II - Arqura Homes;73.39;1.176.173;19.92;266.928;4.98;66.732;4.08;96.288;3.91;92.276;;;;;;;13.78;184.652;10.48;140.432;8.35;11.189;;;;;;;4.34;11.935;3.55;97.625;;;4.13;2.478
Sevilla;Macarena 40 / Aniceto;73.4;1.099.885;19.62;262.908;7.95;10.653;3.76;88.736;;;;;;;;;15.97;213.998;10.97;146.998;9.6;12.864;;;;;;;2.75;75.625;2.78;7.645;;;;
Avilés;Aralis II - Arqura Homes;73.74;1.190.271;19.8;26.532;4.95;6.633;4.98;117.528;3.49;82.364;;;;;;;14.33;192.022;10.48;140.432;7.5;10.05;;;;;;;4.19;115.225;4.02;11.055;;;4.13;2.478
Granada;Alma F2;74.2;110.237;21.9;29.346;9.3;12.462;4.1;9.676;;;;;;;;;14.3;19.162;10;13.4;9.9;13.266;;;;;;;2.2;6.05;2.5;6.875;;;17.9;10.74
;Cisneo Alto;74.28;1.176.228;18.48;247.632;7.82;104.788;4.3;10.148;;;;;;;;;15.73;210.782;9.51;127.434;8.02;107.468;;;;;;;2.72;7.48;5.16;14.19;2.54;59.944;3.55;2.13
;Cisneo Alto;74.44;1.155.554;18.88;252.992;8.03;107.602;3.75;8.85;;;;;;;;;12.34;165.356;12.08;161.872;10.13;135.742;;;;;;;4.04;11.11;2.54;6.985;2.65;6.254;3.01;1.806
Málaga;Guadiaro;74.59;1.119.365;23.008;3.083.072;5.752;770.768;4.31;101.716;;;;;;;;;14.55;19.497;10.97;146.998;9.97;133.598;;;;;;;;;3.69;101.475;2.34;55.224;;
Sevilla;Macarena 40 / Aniceto;74.66;1.221.358;18.23;244.282;8.3;11.122;5.07;119.652;;;;;;;;;13.63;182.642;8.83;118.322;8.6;11.524;;;;;;;4.25;116.875;7.75;213.125;;;;
