ZONA;PROMOT.;A_TOTAL_(m2);P_TOTAL_(m);A_SALON;P_SALON;A_COCINA;P_COCINA;A_BAÑO1;P_BAÑO1;A_BAÑO2;P_BAÑO2;A_BAÑO3;P_BAÑO3;A_BAÑO4;P_BAÑO4;A_ASEO;P_ASEO;A_DORM1;P_DORM1;A_DORM2;P_DORM2;A_DORM3;P_DORM3;A_DORM4;P_DORM4;A_DORM5;P_DORM5;A_DORM6;P_DORM6;A_ENTRADA;P_ENTRADA;A_PASILLO;P_PASILLO;A_LAVADERO;P_LAVADERO;A_TERRAZA;P_TERRAZA
Barcelona;Oslo Bulding;74.74;120.089;21.24;284.616;5.31;71.154;4.55;10.738;3.91;92.276;;;;;;;16.12;216.008;9.11;122.074;6.48;86.832;;;;;;;;;8.02;22.055;;;9.11;5.466
Granada;Alma F2;74.8;113.87;31.9;42.746;8.8;11.792;4.8;11.328;;;;;;;;;13.5;18.09;9.6;12.864;;;;;;;;;2.4;6.6;3.8;10.45;;;42.4;25.44
Cuenca;Villa Roman;74.86;1.208.807;25.32;339.288;6.33;84.822;4.15;9.794;4.03;95.108;;;;;;;15.34;205.556;11.02;147.668;;;;;;;;;4.66;12.815;4.01;110.275;;;8.18;4.908
;Cisneo Alto;75.3;1.181.793;19.04;255.136;8.05;10.787;4.49;105.964;;;;;;;;;14.24;190.816;9.97;133.598;9.78;131.052;;;;;;;3.95;108.625;3.16;8.69;2.62;61.832;6.21;3.726
Albacete;Santa Quiteria;75.46;1.039.214;19.488;2.611.392;4.872;652.848;2.75;6.49;;;;;;;;;10.54;141.236;7.89;105.726;29.92;400.928;;;;;;;;;;;;;12.46;7.476
;Cisneo Alto;75.9;1.220.715;21.06;282.204;8.65;11.591;6.35;14.986;;;;;;;;;12.55;16.817;8.75;11.725;8.69;116.446;;;;;;;3.56;9.79;6.29;172.975;;;23.82;14.292
Sevilla;Coca Cola;75.95;122.935;21;28.14;10.35;13.869;4.9;11.564;4.65;10.974;;;;;;;12.55;16.817;8;10.72;6.4;8.576;;;;;;;4.55;125.125;3.55;97.625;;;;
Avilés;Aralis II - Arqura Homes;75.99;1.242.975;19.92;266.928;4.98;66.732;5.13;121.068;4.39;103.604;;;;;;;13.88;185.992;10.48;140.432;8.16;109.344;;;;;;;5.6;15.4;3.45;94.875;;;4.13;2.478
Córdoba;Terrazas de Sta. Rosa / Insur;75.99;119.445;20.15;27.001;8.39;112.426;3.92;92.512;;;;;;;;;13.89;186.126;9.91;132.794;9.52;127.568;;;;;;;2.9;7.975;5.32;14.63;1.99;46.964;6.39;3.834
Avilés;Aralis II - Arqura Homes;76.03;1.216.181;19.92;266.928;4.98;66.732;4.31;101.716;4.3;10.148;;;;;;;15.92;213.328;10.48;140.432;8.35;11.189;;;;;;;4.22;11.605;3.55;97.625;;;4.13;2.478
Córdoba;Terrazas de Sta. Rosa / Insur;76.33;1.198.826;20.14;269.876;8.59;115.106;3.89;91.804;;;;;;;;;13.94;186.796;9.91;132.794;9.63;129.042;;;;;;;2.9;7.975;5.3;14.575;2.03;47.908;13.71;8.226
Sevilla;Pol. Aerpuerto;76.38;1.215.696;20.11;269.474;8.17;109.478;4.48;105.728;4.3;10.148;;;;;;;13.8;18.492;9.48;127.032;8.76;117.384;;;;;;;4.2;11.55;3.08;8.47;;;;
Murcia ;Balcon del Norte - Condestable;76.63;1.148.933;25.888;3.468.992;6.472;867.248;4.12;97.232;3.44;81.184;;;;;;;13.94;186.796;9.79;131.186;9.79;131.186;;;;;;;;;3.19;87.725;;;13.02;7.812
Albacete;Santa Quiteria;76.76;1.176.961;25.296;3.389.664;6.324;847.416;3.51;82.836;2.95;6.962;;;;;;;13.88;185.992;10.14;135.876;8.81;118.054;;;;;;;;;5.85;160.875;;;4.22;2.532
Pamplona;Abaigar Izarra Plaza;76.89;1.269.342;21.68;290.512;10.66;142.844;3.62;85.432;3.28;77.408;;;;;;;14.2;19.028;11.49;153.966;;;;;;;;;4.25;116.875;7.71;212.025;;;83.61;50.166
Bilbao;Luz Enea - Pryconsa;76.9;122.105;20.66;276.844;8.39;112.426;3.56;84.016;3.32;78.352;;;;;;;14.32;191.888;10.1;13.534;8.01;107.334;;;;;;;4.58;12.595;3.96;10.89;;;15.89;9.534
Albacete;Santa Quiteria;76.92;1.183.224;25.432;3.407.888;6.358;851.972;4.14;97.704;2.91;68.676;;;;;;;12.8;17.152;9.75;13.065;9.48;127.032;;;;;;;;;4.84;13.31;1.21;28.556;111.34;66.804
Teruel;Las Dalias;76.95;1.265.325;22;29.48;11.65;15.611;4.25;10.03;3.85;9.086;;;;;;;12.95;17.353;11.5;15.41;;;;;;;;;5.25;144.375;5.5;15.125;;;11.15;6.69
Sevilla;Palmas Altas Sur;77.4;115.929;24.25;32.495;11.3;15.142;5.2;12.272;;;;;;;;;13.5;18.09;9.3;12.462;8.95;11.993;;;;;;;;;4.9;13.475;;;;
Madrid;Borea Arroyo Fresno Portablanca / Fcc;77.44;1.216.805;29.87;400.258;9.66;129.444;4.69;110.684;;;;;;;;;12.94;173.396;10.97;146.998;;;;;;;;;5.4;14.85;3.91;107.525;;;11.99;7.194
;Cisneo Alto;77.78;1.244.023;19.03;255.002;8.28;110.952;5.38;126.968;;;;;;;;;14.83;198.722;9.69;129.846;9.17;122.878;;;;;;;3.4;9.35;4.45;122.375;3.55;8.378;;
;Sedalis Resid. / Realia;77.86;1.195.628;24.984;3.347.856;6.246;836.964;4.17;98.412;;;;;;;;;13.86;185.724;10.52;140.968;9.62;128.908;;;;;;;2.48;6.82;3.54;9.735;2.44;57.584;13.73;8.238
Murcia ;Balcon del Norte - Condestable;78.04;1.167.404;27.28;365.552;6.82;91.388;4.2;9.912;3.36;79.296;;;;;;;13.82;185.188;9.7;12.998;9.7;12.998;;;;;;;;;3.16;8.69;;;22.48;13.488
;Sedalis Resid. / Realia;78.07;1.250.018;23.28;311.952;5.82;77.988;3.78;89.208;;;;;;;;;13.02;174.468;10.05;13.467;9.46;126.764;;;;;;;4.5;12.375;4.78;13.145;3.38;79.768;19.65;11.79
Sevilla;Pol. Aerpuerto;78.11;1.293.199;18.24;244.416;7.97;106.798;4.94;116.584;4.59;108.324;;;;;;;12.65;16.951;10.62;142.308;8.51;114.034;;;;;;;6.39;175.725;4.2;11.55;;;;
Murcia ;Balcon del Norte - Condestable;78.33;1.171.698;27.312;3.659.808;6.828;914.952;4.2;9.912;3.4;8.024;;;;;;;13.93;186.662;9.75;13.065;9.75;13.065;;;;;;;;;3.16;8.69;;;13.27;7.962
Valladolid;Resid. Castilla;78.35;1.257.055;19.6;26.264;9.7;12.998;4.05;9.558;;;;;;;;;13.55;18.157;9.75;13.065;9.55;12.797;;;;;;;7.25;199.375;3.5;9.625;1.4;3.304;12.9;7.74
Sevilla;Macarena 40 / Aniceto;78.48;1.243.596;19.51;261.434;8.25;11.055;5.19;122.484;;;;;;;;;14.45;19.363;13;17.42;8.22;110.148;;;;;;;4.91;135.025;4.95;136.125;;;;
Sevilla;Pol. Aerpuerto;78.51;1.251.999;18.22;244.148;7.91;105.994;6.19;146.084;3.89;91.804;;;;;;;16.37;219.358;10.51;140.834;8.53;114.302;;;;;;;2.97;81.675;3.92;10.78;;;;
Sevilla;Macarena 40 / Aniceto;78.63;1.173.918;22.1;29.614;10.95;14.673;4.41;104.076;;;;;;;;;15.87;212.658;11.4;15.276;8.56;114.704;;;;;;;3.05;83.875;2.29;62.975;;;;
Córdoba;Terrazas de Sta. Rosa / Insur;78.7;1.264.916;20.43;273.762;8.79;117.786;3.91;92.276;;;;;;;;;13.57;181.838;9.97;133.598;9.41;126.094;;;;;;;4.91;135.025;5.79;159.225;1.92;45.312;15.76;9.456
Valencia;Font de San Lluis - Aproperties;78.82;1.231.799;26.976;3.614.784;6.744;903.696;3.55;8.378;3.25;7.67;;;;;;;12.61;168.974;10.41;139.494;6.97;93.398;;;;;;;1.45;39.875;4.06;11.165;2.8;6.608;6.28;3.768
Sevilla;San Jerónimo;78.97;122.486;20.46;274.164;9.44;126.496;3.76;88.736;;;;;;;;;10.53;141.102;9.75;13.065;8.03;107.602;7.9;10.586;;;;;3.89;106.975;5.21;143.275;;;2.06;1.236
Sevilla;M10 Bermejales;79.01;1.229.899;20.92;280.328;9.4;12.596;4.16;98.176;;;;;;;;;12;16.08;8.6;11.524;7.44;99.696;7.36;98.624;;;;;2.56;7.04;6.57;180.675;;;;
Pamplona;Abaigar Izarra Plaza;79.14;1.200.255;23.552;3.155.968;5.888;788.992;4.13;97.468;3.92;92.512;;;;;;;16.3;21.842;10.67;142.978;10.59;141.906;;;;;;;;;4.09;112.475;;;124.71;74.826
;SUNP-AE-1;79.26;1.247.301;19.82;265.588;7.04;94.336;4.57;107.852;;;;;;;;;13.93;186.662;8.05;10.787;8.02;107.468;8;10.72;;;;;1.12;3.08;8.71;239.525;;;;
;Essencia de Sabadell / Realia;79.61;1.217.041;24.24;324.816;9.6;12.864;4.24;100.064;;;;;;;;;11.87;159.058;11.28;151.152;10.79;144.586;;;;;;;2.59;71.225;5;13.75;;;;
;;79.83;124.353;21.17;283.678;9.58;128.372;4.35;10.266;;;;;;;;;13.29;178.086;11.17;149.678;11.09;148.606;;;;;;;5.67;155.925;3.51;96.525;;;;
Valencia;Font de San Lluis - Aproperties;80;1.246.261;27.08;362.872;6.77;90.718;3.55;8.378;3.37;79.532;;;;;;;13.36;179.024;10.85;14.539;6.97;93.398;;;;;;;1.45;39.875;4.08;11.22;2.52;59.472;5.99;3.594
Madrid;Borea Arroyo Fresno Portablanca / Fcc;80.01;1.222.536;22.99;308.066;9;12.06;4.82;113.752;;;;;;;;;16.56;221.904;10.73;143.782;8.73;116.982;;;;;;;5.47;150.425;1.71;47.025;;;107.19;64.314
Albacete;Santa Quiteria;80.03;1.233.592;23.18;310.612;6.79;90.986;4.13;97.468;3.13;73.868;;;;;;;15.93;213.462;10.07;134.938;10.62;142.308;;;;;;;;;6.18;16.995;;;61.89;37.134
;Cisneo Alto;80.11;1.261.415;22.9;30.686;10.27;137.618;7.27;171.572;;;;;;;;;14.59;195.506;8.71;116.714;8.3;11.122;;;;;;;4.21;115.775;3.86;10.615;;;30.82;18.492
Pamplona;Abaigar Izarra Plaza;80.29;1.175.933;25.5;34.17;9.53;127.702;3.52;83.072;3.51;82.836;;;;;;;14.15;18.961;11.41;152.894;10.66;142.844;;;;;;;;;2.01;55.275;;;40.28;24.168
Navarra;Optima / Ardoi;80.3;124.999;22.35;29.949;9.65;12.931;4.2;9.912;;;;;;;;;13.65;18.291;11.95;16.013;9.2;12.328;;;;;;;5.95;163.625;3.35;92.125;;;10.9;6.54
Sevilla;Macarena 40 / Aniceto;80.64;1.208.397;25.47;341.298;8.25;11.055;4.03;95.108;;;;;;;;;17.29;231.686;10.4;13.936;9.05;12.127;;;;;;;3.35;92.125;2.8;7.7;;;;
Sevilla;M10 Bermejales;80.68;1.254.674;20.77;278.318;11.05;14.807;4.16;98.176;;;;;;;;;12;16.08;8.6;11.524;7.44;99.696;7.36;98.624;;;;;2.73;75.075;6.57;180.675;;;;
;;80.86;1.255.319;23.94;320.796;9.43;126.362;3.68;86.848;2.56;60.416;;;;;;;13.86;185.724;10.54;141.236;9.18;123.012;;;;;;;;;7.67;210.925;;;;
Sevilla;Macarena 40 / Aniceto;81.05;1.328.428;20.04;268.536;12.37;165.758;3.44;81.184;;;;;;;;;12.3;16.482;10.19;136.546;8.01;107.334;;;;;;;8.06;22.165;6.64;18.26;;;;
Sevilla;Bermes II / Insur;81.2;1.290.664;24.696;3.309.264;6.174;827.316;4.7;11.092;;;;;;;;;14.11;189.074;10.06;134.804;10;13.4;;;;;;;7.22;19.855;2.46;6.765;1.78;42.008;53.62;32.172
Pamplona;Abaigar Izarra Plaza;81.28;119.618;24.96;334.464;9.61;128.774;4.02;94.872;3.57;84.252;;;;;;;14.56;195.104;11.4;15.276;11.06;148.204;;;;;;;;;2.1;5.775;;;45.14;27.084
Avilés;Aralis II - Arqura Homes;81.65;1.336.972;21.528;2.884.752;5.382;721.188;3.91;92.276;3.91;92.276;;;;;;;14.47;193.898;12.35;16.549;7.88;105.592;;;;;;;6.34;17.435;3.52;9.68;2.36;55.696;36.15;21.69
Barcelona;Themos Riera - Culmia;81.96;1.317.858;22.19;297.346;11.58;155.172;4.04;95.344;3.61;85.196;;;;;;;11.19;149.946;10.05;13.467;9.26;124.084;;;;;;;6.88;18.92;3.16;8.69;;;9.48;5.688
Valencia;Taverne Blanques - AProperties;82.07;1.179.808;27.968;3.747.712;6.992;936.928;3.97;93.692;3.88;91.568;;;;;;;13.93;186.662;13.73;183.982;11.6;15.544;;;;;;;;;;;;;;
Sevilla;M10 Bermejales;82.24;1.285.307;21.18;283.812;11.51;154.234;4.16;98.176;;;;;;;;;12;16.08;8.6;11.524;7.44;99.696;7.36;98.624;;;;;3.42;9.405;6.57;180.675;;;;
Sevilla;San Jerónimo;82.34;1.292.461;20.51;274.834;10.36;138.824;3.79;89.444;;;;;;;;;10.55;14.137;10.53;141.102;8.03;107.602;7.9;10.586;;;;;5.46;15.015;5.21;143.275;;;2.1;1.26
Sevilla;Bermes II / Insur;82.4;1.327.504;23.832;3.193.488;5.958;798.372;3.77;88.972;;;;;;;;;13.97;187.198;10.09;135.206;9.98;133.732;;;;;;;5.2;14.3;3.5;9.625;6.1;14.396;9.32;5.592
Pamplona;Abaigar Izarra Plaza;82.42;1.289.903;23.04;308.736;9.13;122.342;4.04;95.344;3.79;89.444;;;;;;;14.91;199.794;10.75;14.405;9.27;124.218;;;;;;;5.15;141.625;2.34;6.435;;;20.56;12.336
Sevilla;Pino Montano Emvisesa;82.55;131.641;20.15;27.001;8.7;11.658;3.55;8.378;3.1;7.316;;;;;;;12.8;17.152;8.65;11.591;7.75;10.385;7.75;10.385;;;;;4.05;111.375;6.05;166.375;;;;
Granada;Alma F2;82.7;129.907;23.6;31.624;8.3;11.122;4.2;9.912;;;;;;;;;14.1;18.894;11;14.74;11;14.74;;;;;;;5.8;15.95;4.7;12.925;;;13.2;7.92
Bilbao;Luz Enea - Pryconsa;82.92;1.365.312;21.61;289.574;8.48;113.632;3.68;86.848;3.38;79.768;;;;;;;14.49;194.166;9.34;125.156;9.02;120.868;;;;;;;7.14;19.635;5.78;15.895;;;62.18;37.308
Bilbao;Luz Enea - Pryconsa;83.31;1.323.744;22.06;295.604;10.02;134.268;4.13;97.468;3.07;72.452;;;;;;;15.3;20.502;9.94;133.196;9.29;124.486;;;;;;;4.45;122.375;5.05;138.875;;;18.26;10.956
Valencia;Taverne Blanques - AProperties;83.39;1.264.288;28.896;3.872.064;7.224;968.016;3.59;84.724;3.39;80.004;;;;;;;12.17;163.078;13.2;17.688;8.97;120.198;;;;;;;3.84;10.56;;;2.11;49.796;8.61;5.166
Pamplona;Abaigar Izarra Plaza;83.43;1.226.298;23.67;317.178;10.94;146.596;4.12;97.232;3.93;92.748;;;;;;;15.63;209.442;11.8;15.812;11.48;153.832;;;;;;;;;1.86;5.115;;;16.94;10.164
Granada;Alma F2;83.5;130.391;27;36.18;8.6;11.524;3.9;9.204;;;;;;;;;13.4;17.956;11.1;14.874;9.2;12.328;;;;;;;3.6;9.9;6.7;18.425;;;13.6;8.16
Sevilla;Pino Montano Emvisesa;83.6;130.882;20.15;27.001;7;9.38;3.5;8.26;3.1;7.316;;;;;;;13.2;17.688;10.95;14.673;8.95;11.993;8.15;10.921;;;;;2.5;6.875;6.1;16.775;;;;
Granada;Alma F2;83.7;132.042;24.1;32.294;8.5;11.39;4.5;10.62;;;;;;;;;13.8;18.492;10.8;14.472;10.6;14.204;;;;;;;4.7;12.925;4.7;12.925;2;4.72;15.3;9.18
Madrid;Borea Arroyo Fresno Portablanca / Fcc;84.09;127.8;25.25;33.835;10.73;143.782;4.87;114.932;;;;;;;;;15.41;206.494;10.67;142.978;9.96;133.464;;;;;;;5.47;150.425;1.73;47.575;;;12.64;7.584
;Cisneo Alto;84.49;1.332.623;24.75;33.165;8.14;109.076;6.33;149.388;;;;;;;;;12.87;172.458;11.23;150.482;10.78;144.452;;;;;;;3.36;9.24;4.31;118.525;2.72;64.192;2.64;1.584
Málaga;Guadiaro;84.54;1.283.535;24.36;326.424;6.09;81.606;4.31;101.716;;;;;;;;;13.26;177.684;10.97;146.998;9.97;133.598;8.01;107.334;;;;;3.88;10.67;3.69;101.475;;;;
Navarra;Optima / Ardoi;84.8;129.337;25.7;34.438;11.5;15.41;4.2;9.912;;;;;;;;;14.05;18.827;10.65;14.271;10.6;14.204;;;;;;;3.85;105.875;4.25;116.875;;;15.7;9.42
Valladolid;Resid. Castilla;84.9;1.312.845;22.4;30.016;10.3;13.802;4.25;10.03;;;;;;;;;15.95;21.373;12.6;16.884;10.05;13.467;;;;;;;3.15;86.625;6.2;17.05;;;90.75;54.45
;Uralita;84.93;1.395.615;20;26.8;8.39;112.426;3.59;84.724;;;;;;;;;10.98;147.132;8.7;11.658;8.4;11.256;8.62;115.508;;;;;6.12;16.83;8.03;220.825;2.1;4.956;;
Granada;Alma F2;85.3;132.812;29.1;38.994;8.9;11.926;4.6;10.856;;;;;;;;;13;17.42;10.4;13.936;9.5;12.73;;;;;;;4.6;12.65;5.2;14.3;;;9.4;5.64
;;85.42;1.354.922;22.98;307.932;13;17.42;4.72;111.392;;;;;;;;;14.47;193.898;9.7;12.998;9.05;12.127;;;;;;;2.5;6.875;9;24.75;;;;
Navarra;Optima / Ardoi;85.5;1.240.005;24.15;32.361;10.05;13.467;4.2;9.912;;;;;;;;;14.75;19.765;11.35;15.209;10.35;13.869;7;9.38;;;;;3.65;100.375;;;;;13.3;7.98
Pamplona;Abaigar Izarra Plaza;85.52;1.248.142;28;37.52;10.44;139.896;3.73;88.028;3.55;8.378;;;;;;;14.74;197.516;11.92;159.728;11.16;149.544;;;;;;;;;1.98;5.445;;;42.46;25.476
Barcelona;AQ Urban Fira;85.66;1.388.306;19.41;260.094;9.02;120.868;3.61;85.196;3.37;79.532;;;;;3.02;71.272;13.32;178.488;8.07;108.138;8.07;108.138;7.95;10.653;;;;;9.82;27.005;;;;;7.21;4.326
Sevilla;Torremagna;85.7;139.81;22.4;30.016;9.5;12.73;4.3;10.148;;;;;;;;;15.6;20.904;10.3;13.802;9;12.06;;;;;;;6.3;17.325;8.3;22.825;;;10.4;6.24
;;85.72;1.386.998;22.94;307.396;11.98;160.532;3;7.08;3;7.08;2.88;67.968;;;;;12.24;164.016;10.08;135.072;7.85;10.519;4.25;116.875;;;;;;;2.91;80.025;4.59;108.324;;
Madrid;El Pinar Caleruega - Proceparsa;85.76;1.304.851;26.56;355.904;11.42;153.028;4.43;104.548;4.21;99.356;;;;;;;13.76;184.384;10.46;140.164;10.13;135.742;;;;;;;;;4.79;131.725;;;;
Sevilla;Palmas Altas Sur;85.9;1.305.605;23.85;31.959;9.3;12.462;3.85;9.086;;;;;;;;;13.3;17.822;8.95;11.993;8.95;11.993;8.75;11.725;;;;;;;6.15;169.125;2.8;6.608;;
Sevilla;Pino Montano Emvisesa;85.95;133.575;20.5;27.47;8;10.72;4.3;10.148;3.65;8.614;;;;;;;14.7;19.698;10.4;13.936;8.6;11.524;8.5;11.39;;;;;3.9;10.725;3.4;9.35;;;;
;Taormina / Pryconsa Cantalejo;86.08;1.333.547;23.04;308.736;9.09;121.806;5.31;125.316;;;;;;;;;19.79;265.186;10.2;13.668;9.72;130.248;;;;;;;5.63;154.825;3.3;9.075;;;10.98;6.588
Zaragoza;Adarve;86.2;138.209;21.7;29.078;10.95;14.673;4.25;10.03;3.7;8.732;;;;;1.45;3.422;13.85;18.559;10.75;14.405;10.25;13.735;;;;;;;5.4;14.85;3.9;10.725;;;129.1;77.46
La Coruña;Caleida - Metrovacesa;86.4;144.876;20.4;27.336;9.1;12.194;5.2;12.272;4.5;10.62;;;;;;;15.6;20.904;8.5;11.39;8.4;11.256;;;;;;;4.3;11.825;6.5;17.875;3.9;9.204;3.7;2.22
Cuenca;Villa Roman;86.45;1.309.054;25.5;34.17;10.75;14.405;4.23;99.828;4.04;95.344;;;;;;;15;20.1;11.15;14.941;11.08;148.472;;;;;;;4.7;12.925;;;;;10.53;6.318
Albacete;Santa Quiteria;87.47;1.335.949;22.33;299.222;14.32;191.888;4.69;110.684;2.9;6.844;;;;;;;15.61;209.174;11.35;15.209;10.14;135.876;;;;;;;;;6.13;168.575;;;4.97;2.982
Zaragoza;Adarve;87.8;139.894;21.7;29.078;10.95;14.673;3.8;8.968;3.7;8.732;;;;;1.45;3.422;15.9;21.306;10.75;14.405;10.25;13.735;;;;;;;5.4;14.85;3.9;10.725;;;15.95;9.57
;;88.87;1.392.086;23.216;3.110.944;5.804;777.736;4.97;117.292;3.79;89.444;;;;;;;17.63;236.242;13.12;175.808;11.36;152.224;;;;;;;;;5.2;14.3;3.78;89.208;;
Valencia;Taverne Blanques - AProperties;88.95;1.273.428;31.936;4.279.424;7.984;1.069.856;4.06;95.816;3.93;92.748;;;;;;;14.08;188.672;14.02;187.868;12.94;173.396;;;;;;;;;;;;;6.46;3.876
Sevilla;Pol. Aerpuerto;89.32;1.447.007;22.47;301.098;7.76;103.984;3.95;9.322;3.61;85.196;;;;;;;12.06;161.604;9.18;123.012;9.16;122.744;8.86;118.724;;;;;5.76;15.84;6.51;179.025;;;;
Sevilla;Pino Montano Emvisesa;89.45;1.411.915;20.8;27.872;9.55;12.797;5.35;12.626;3.05;7.198;;;;;;;12.35;16.549;10.75;14.405;10.2;13.668;8.35;11.189;;;;;3.35;92.125;5.7;15.675;;;;
Pamplona;Abaigar Izarra Plaza;89.57;1.409.461;25.34;339.556;12.43;166.562;3.88;91.568;3.79;89.444;;;;;;;14.86;199.124;10.74;143.916;9.24;123.816;;;;;;;6.94;19.085;2.35;64.625;;;13.41;8.046
Pamplona;Abaigar Izarra Plaza;89.6;1.356.295;32.064;4.296.576;8.016;1.074.144;4.17;98.412;3.98;93.928;;;;;;;14.2;19.028;10.94;146.596;10.37;138.958;;;;;;;;;3.27;89.925;2.59;61.124;41.29;24.774
Pamplona;Abaigar Izarra Plaza;89.73;1.421.316;24.48;328.032;10.65;14.271;3.69;87.084;3.49;82.364;;;;;;;13.76;184.384;11.79;157.986;10.92;146.328;;;;;;;2.24;6.16;6.48;17.82;2.23;52.628;16.7;10.02
Zaragoza;Adarve;89.8;1.490.615;21.5;28.81;10.35;13.869;4.8;11.328;3.65;8.614;;;;;1.4;3.304;14.8;19.832;10.05;13.467;10;13.4;;;;;;;6.4;17.6;6.85;188.375;;;18.9;11.34
Sevilla;Pino Montano Emvisesa;89.85;148.527;20.55;27.537;7.55;10.117;4.2;9.912;4.15;9.794;;;;;;;11.85;15.879;9.4;12.596;9.15;12.261;8.4;11.256;;;;;3.7;10.175;8.4;23.1;2.5;5.9;;
Sevilla;Pino Montano Emvisesa;90;145.77;21.15;28.341;8.5;11.39;4.15;9.794;3.8;8.968;;;;;;;13.2;17.688;10.7;14.338;9.4;12.596;7;9.38;;;;;5.9;16.225;6.2;17.05;;;;
;Pino Montano ;90;146.856;21.6;28.944;7.2;9.648;4.4;10.384;4.2;9.912;;;;;;;13.15;17.621;11.6;15.544;8.2;10.988;7.25;9.715;;;;;12.4;34.1;;;;;;
Málaga;Guadiaro;90.05;1.404.064;23.672;3.172.048;5.918;793.012;3.49;82.364;3.01;71.036;;;;;2.46;58.056;13.71;183.714;11.35;15.209;9.09;121.806;9.03;121.002;;;;;1.33;36.575;4.09;112.475;2.9;6.844;;
